,title,mean rating,number of ratings
3546,The Hunger Games: Catching Fire (2013),3.63,26
3547,"Hobbit: The Desolation of Smaug, The (2013)",3.58,25
3548,47 Ronin (2013),2.64,7
3549,Delivery Man (2013),2.88,4
3550,Charlie Countryman (2013),1.5,1
3551,Red Flag (2012),4.5,1
3552,"Day of the Doctor, The (2013)",4.57,7
3553,Guilty of Romance (Koi no tsumi) (2011) ,3.0,1
3554,Frozen (2013),3.62,29
3555,Inside Llewyn Davis (2013),3.64,7
3556,"Wolf of Wall Street, The (2013)",3.92,54
3557,Homefront (2013),3.0,1
3558,Mandela: Long Walk to Freedom (2013),3.75,2
3559,Evangelion: 3.0 You Can (Not) Redo (2012),2.5,3
3560,All is Bright (2013),1.5,1
3561,Tim's Vermeer (2013),4.0,1
3562,American Hustle (2013),3.25,16
3563,"Secret Life of Walter Mitty, The (2013)",4.0,20
3564,Her (2013),3.92,25
3565,RoboGeisha (Robo-geisha) (2009),3.0,1
3566,Lone Survivor (2013),3.0,2
3567,Saving Mr. Banks (2013),3.69,8
3568,Oldboy (2013),3.0,2
3569,Dampfnudelblues (2013),2.5,1
3570,Anchorman 2: The Legend Continues (2013),3.36,11
3571,Snowpiercer (2013),3.43,21
3572,Haunter (2013),3.0,1
3573,Wrong Cops (2013),4.0,1
3574,"Muppet Christmas: Letters to Santa, A (2008)",1.5,1
3575,Ninja: Shadow of a Tear (2013),4.5,1
3576,"Fuck You, Goethe (Fack Ju Göhte) (2013)",2.75,2
3577,High School (2010),4.5,1
3578,Grudge Match (2013),2.5,2
3579,Highlander: The Search for Vengeance (2007),3.0,1
3580,Only Lovers Left Alive (2013),5.0,1
3581,Bad Karma (2012),2.0,1
3582,Hunting Elephants (2013),5.0,1
3583,Dragon Ball Z: Battle of Gods (2013),4.0,2
3584,Freezer (2014),2.0,1
3585,We Are What We Are (2013),2.25,2
3586,Chinese Puzzle (Casse-tête chinois) (2013),5.0,1
3587,Ride Along (2014),3.17,6
3588,Jack Ryan: Shadow Recruit (2014),2.0,2
3589,Divergent (2014),3.0,18
3590,Hotel Chevalier (Part 1 of 'The Darjeeling Limited') (2007),3.5,1
3591,Ernest & Célestine (Ernest et Célestine) (2012),4.5,1
3592,Drift (2013),2.0,1
3593,"I, Frankenstein (2014)",2.25,2
3594,Better Living Through Chemistry (2014),1.5,1
3595,Nymphomaniac: Volume I (2013),4.25,2
3596,Enemy (2013),3.5,7
3597,Wonder Woman (2009),5.0,1
3598,"Monuments Men, The (2014)",2.67,6
3599,The Lego Movie (2014),3.87,31
3600,RoboCop (2014),2.33,6
3601,"Art of the Steal, The (2013)",3.33,3
3602,Nymphomaniac: Volume II (2013),4.5,1
3603,Knights of Badassdom (2013),2.25,2
3604,Venus in Fur (La Vénus à la fourrure) (2013),4.5,1
3605,Date and Switch (2014),2.0,1
3606,"Zero Theorem, The (2013)",3.0,3
3607,Winter's Tale (2014),1.5,1
3608,On the Other Side of the Tracks (De l'autre côté du périph) (2012),5.0,1
3609,GLOW: The Story of the Gorgeous Ladies of Wrestling (2012),3.0,1
3610,Cold Comes the Night (2013),2.0,1
3611,Chouchou (2003),4.0,1
3612,Someone Marry Barry (2014),2.5,1
3613,About Last Night (2014),2.25,2
3614,"Grand Budapest Hotel, The (2014)",3.78,52
3615,"Oversimplification of Her Beauty, An (2012)",3.5,1
3616,Bring It On: Fight to the Finish (2009),2.0,1
3617,That Awkward Moment (2014),2.62,4
3618,Interstellar (2014),3.99,73
3619,3 Days to Kill (2014),1.0,2
3620,Welcome to the Jungle (2013),2.0,2
3621,Non-Stop (2014),3.25,4
3622,Wrinkles (Arrugas) (2011),4.0,1
3623,"Garden of Words, The (Koto no ha no niwa) (2013)",5.0,1
3624,300: Rise of an Empire (2014),2.12,4
3625,Particle Fever (2013),5.0,1
3626,"Bag Man, The (2014)",3.5,1
3627,Mr. Peabody & Sherman (2014),3.25,4
3628,Under the Skin (2013),2.75,2
3629,Need for Speed (2014),3.75,2
3630,Barefoot (2014),3.0,2
3631,Veronica Mars (2014),1.75,2
3632,Bad Words (2013),2.0,3
3633,Son of God (2014),0.5,1
3634,Puss in Boots: The Three Diablos (2012),3.0,1
3635,Why Don't You Play In Hell? (Jigoku de naze warui) (2013),4.25,2
3636,Ocho apellidos vascos (2014),4.5,1
3637,Captain America: The Winter Soldier (2014),3.74,31
3638,Noah (2014),2.8,5
3639,"Nut Job, The (2014)",4.33,3
3640,13 Sins (2014),3.5,1
3641,Muppets Most Wanted (2014),3.33,3
3642,Me and you (io e te) (2012),4.5,1
3643,Free to Play (2014),4.5,1
3644,"Unknown Known, The (2013)",4.0,1
3645,The Raid 2: Berandal (2014),3.93,7
3646,The Amazing Spider-Man 2 (2014),2.64,11
3647,Calvary (2014),4.0,1
3648,Oculus (2013),4.5,1
3649,God's Not Dead (2014),0.5,1
3650,Cold in July (2014),2.5,1
3651,Rio 2 (2014),2.0,2
3652,"Honest Liar, An (2014)",3.75,2
3653,Fading Gigolo (2013),4.0,1
3654,Transcendence (2014),2.29,7
3655,Hatchet III (2013),4.0,1
3656,"Other Woman, The (2014)",2.92,6
3657,"Haunted House 2, A (2014)",0.5,1
3658,Mulan II (2004),2.5,1
3659,Brick Mansions (2014),1.5,1
3660,Locke (2013),3.83,3
3661,Neighbors (2014),3.29,12
3662,Alpha and Omega 3: The Great Wolf Games (2014),4.5,1
3663,Mom's Night Out (2014),1.5,1
3664,Lucy (2014),2.82,14
3665,X-Men: Days of Future Past (2014),3.83,30
3666,Godzilla (2014),2.62,13
3667,Walk of Shame (2014),2.5,1
3668,Blue Ruin (2013),4.0,1
3669,Chef (2014),2.75,2
3670,Afflicted (2013),3.5,1
3671,Blended (2014),3.81,8
3672,Begin Again (2013),4.0,3
3673,Maleficent (2014),2.75,16
3674,Zombeavers (2014),2.5,2
3675,At Middleton (2013),1.5,1
3676,"Dance of Reality, The (Danza de la realidad, La) (2013)",3.5,1
3677,A Million Ways to Die in the West (2014),2.96,12
3678,Edge of Tomorrow (2014),3.98,44
3679,Mission: Impossible - Rogue Nation (2015),3.65,17
3680,Midnight Chronicles (2009),0.5,1
3681,Million Dollar Arm (2014),3.0,1
3682,G.B.F. (2013),3.0,1
3683,Jimi: All Is by My Side (2013),3.5,1
3684,Bad Asses (Bad Ass 2) (2014),3.5,1
3685,Lilting (2014),4.5,1
3686,The Fault in Our Stars (2014),3.39,9
3687,Tangled Ever After (2012),3.83,3
3688,Maps to the Stars (2014),3.5,1
3689,22 Jump Street (2014),3.68,19
3690,"Equalizer, The (2014)",3.28,9
3691,How to Train Your Dragon 2 (2014),3.77,15
3692,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),3.35,26
3693,Boyhood (2014),3.82,17
3694,Think Like a Man Too (2014),1.5,1
3695,Jersey Boys (2014),2.5,1
3696,"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",4.5,1
3697,Transformers: Age of Extinction (2014),1.88,4
3698,Frank (2014),4.33,3
3699,They Came Together (2014),2.0,1
3700,Honey (Miele) (2013),3.5,1
3701,Planes: Fire & Rescue (2014),2.25,2
3702,Tammy (2014),2.0,2
3703,Colourful (Karafuru) (2010),5.0,1
3704,"Babadook, The (2014)",4.5,3
3705,Whiplash (2014),4.04,38
3706,Gone Girl (2014),3.72,37
3707,"Angriest Man in Brooklyn, The (2014)",4.0,1
3708,Dawn of the Planet of the Apes (2014),3.43,15
3709,Deliver Us from Evil (2014),3.0,1
3710,And So It Goes (2014),2.0,1
3711,Sex Tape (2014),2.6,5
3712,I Origins (2014),3.83,3
3713,"Purge: Anarchy, The (2014)",3.3,5
3714,Guardians of the Galaxy (2014),4.05,59
3715,"Signal, The (2014)",4.5,1
3716,The Expendables 3 (2014),3.5,3
3717,Hercules (2014),2.0,4
3718,A Most Wanted Man (2014),4.5,1
3719,Life After Beth (2014),3.5,1
3720,Felony (2013),3.0,1
3721,Get on Up (2014),3.5,1
3722,Magic in the Moonlight (2014),3.0,1
3723,Housebound (2014),4.25,2
3724,The Hundred-Foot Journey (2014),4.5,1
3725,Batman: Assault on Arkham (2014),3.0,1
3726,White Frog (2012),4.0,1
3727,"Den, The (2013)",3.5,1
3728,Jupiter Ascending (2015),2.0,2
3729,Teenage Mutant Ninja Turtles (2014),2.75,4
3730,I'll Follow You Down (2013),1.5,1
3731,"Giver, The (2014)",2.3,5
3732,"Pretty One, The (2013)",4.0,1
3733,Revenge of the Green Dragons (2014),1.5,1
3734,Let's Be Cops (2014),3.1,5
3735,"Inbetweeners 2, The (2014)",3.5,2
3736,"Sacrament, The (2013)",4.0,1
3737,Sin City: A Dame to Kill For (2014),3.25,4
3738,If I Stay (2014),2.0,1
3739,"Two Days, One Night (Deux jours, une nuit) (2014)",3.5,1
3740,Coherence (2013),4.0,2
3741,"As Above, So Below (2014)",3.0,1
3742,"One I Love, The (2014)",5.0,1
3743,Headshot (2011),2.5,1
3744,"Guest, The (2014)",4.0,1
3745,Pride (2014),4.0,2
3746,Honeymoon (2014),3.5,1
3747,The Drop (2014),2.83,3
3748,"20,000 Days on Earth (2014)",4.0,1
3749,The Skeleton Twins (2014),3.33,3
3750,Beautiful Losers (2008),2.5,1
3751,"Maze Runner, The (2014)",2.94,16
3752,Camp X-Ray (2014),3.5,1
3753,"Walk Among the Tombstones, A (2014)",3.0,1
3754,Laggies (2014),5.0,1
3755,Cesar Chavez (2014),1.5,1
3756,Who Am I (Kein System Ist Sicher) (2014),1.5,1
3757,"Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)",1.0,1
3758,This Is Where I Leave You (2014),2.75,2
3759,American Sniper (2014),3.8,15
3760,Tusk (2014),3.5,1
3761,Hector and the Search for Happiness (2014),4.25,2
3762,Horns (2014),3.0,1
3763,Annabelle (2014),3.0,2
3764,Two Night Stand (2014),2.83,3
3765,Dracula Untold (2014),3.5,4
3766,Stretch (2014),2.17,3
3767,Autómata (Automata) (2014),3.0,1
3768,"Captive, The (2014)",2.0,1
3769,Predestination (2014),3.9,10
3770,Justin and the Knights of Valour (2013),2.0,1
3771,Ward 13 (2003),3.5,1
3772,What We Do in the Shadows (2014),4.83,3
3773,John Wick (2014),3.84,29
3774,Plastic (2014),2.0,1
3775,"Judge, The (2014)",2.5,1
3776,"Culture High, The (2014)",3.0,1
3777,Fury (2014),3.77,13
3778,"Salvation, The (2014)",3.0,1
3779,St. Vincent (2014),3.25,2
3780,"Rewrite, The (2014)",3.5,1
3781,Nightcrawler (2014),4.17,18
3782,Big Hero 6 (2014),3.85,41
3783,The Book of Life (2014),4.0,2
3784,"Love, Rosie (2014)",3.5,1
3785,Time Lapse (2014),3.83,3
3786,Ex Machina (2015),3.91,28
3787,Mr Hublot (2013),3.0,1
3788,Copenhagen (2014),4.5,1
3789,"Simpsons: The Longest Daycare, The (2012)",3.67,3
3790,Generation War (2013),4.0,1
3791,Leviathan (2014),2.0,1
3792,Reign of Assassins (2010),2.5,1
3793,Zulu (2013),1.5,1
3794,Tangerines (2013),4.5,1
3795,Life Partners (2014),3.0,1
3796,Drive Hard (2014),1.5,1
3797,New Kids Nitro (2011),3.0,1
3798,Stalingrad (2013),3.0,1
3799,Dead Snow 2: Red vs. Dead (2014) ,4.0,2
3800,You Are the Apple of My Eye (2011),4.0,1
3801,DeadHeads (2011),3.5,1
3802,The Imitation Game (2014),4.02,50
3803,Inherent Vice (2014),3.67,6
3804,Rudderless (2014),4.5,1
3805,The Hunger Games: Mockingjay - Part 1 (2014),3.87,23
3806,Sex Ed (2014),2.5,1
3807,Exodus: Gods and Kings (2014),2.75,2
3808,Wild Tales (2014),4.25,10
3809,Dumb and Dumber To (2014),2.33,3
3810,The Longest Week (2014),1.5,1
3811,Miss Meadows (2014),2.5,1
3812,Too Many Cooks (2014),3.0,2
3813,Painted Skin (2008),3.5,1
3814,The Theory of Everything (2014),3.71,17
3815,Doctor Who: The Time of the Doctor (2013),4.5,3
3816,Virunga (2014),4.0,1
3817,The Madagascar Penguins in a Christmas Caper (2005),3.5,1
3818,Song of the Sea (2014),3.0,1
3819,In the Heart of the Sea (2015),3.5,3
3820,Hello Ladies: The Movie (2014),3.0,1
3821,Jurassic World (2015),3.26,23
3822,Watermark (2014),5.0,1
3823,Citizenfour (2014),3.88,4
3824,Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),3.75,2
3825,Hit by Lightning (2014),2.5,1
3826,Horrible Bosses 2 (2014),3.64,11
3827,Dragonheart 2: A New Beginning (2000),4.5,1
3828,Penguins of Madagascar (2014),3.7,5
3829,'71 (2014),4.0,1
3830,The Rabbi's Cat (Le chat du rabbin) (2011),3.0,1
3831,Still Alice (2014),3.8,5
3832,Paddington (2014),4.0,4
3833,Maze Runner: Scorch Trials (2015),1.83,6
3834,Ice Age: A Mammoth Christmas (2011),3.5,1
3835,The Voices (2014),3.5,1
3836,The Green Prince (2014),2.5,1
3837,Dying of the Light (2014),1.5,1
3838,Hellbenders (2012),5.0,1
3839,By the Gun (2014),2.0,1
3840,Kill the Messenger (2014),3.0,1
3841,Bring It On: In It To Win It (2007),1.5,1
3842,The Mule (2014),3.5,2
3843,The Hobbit: The Battle of the Five Armies (2014),3.42,18
3844,Selma (2014),2.5,2
3845,Unbroken (2014),2.5,3
3846,Black Sea (2015),4.0,1
3847,Good Copy Bad Copy (2007),3.5,1
3848,Playing It Cool (2014),2.0,1
3849,National Lampoon's Bag Boy (2007),5.0,1
3850,Closer to the Moon (2013),4.0,1
3851,"Girl Walks Home Alone at Night, A (2014)",3.5,2
3852,Dave Chappelle: For What it's Worth (2004),4.25,2
3853,Scooby-Doo! Abracadabra-Doo (2010),5.0,1
3854,Mommy (2014),4.0,1
3855,Wild (2014),2.9,5
3856,Top Five (2014),3.0,2
3857,Bill Burr: I'm Sorry You Feel That Way (2014),4.5,1
3858,Big Eyes (2014),3.75,2
3859,Into the Woods (2014),2.8,5
3860,"Men, Women & Children (2014)",2.0,1
3861,The Interview (2014),3.46,12
3862,Kingsman: The Secret Service (2015),3.99,36
3863,Bill Burr: You People Are All the Same (2012),4.5,1
3864,Night at the Museum: Secret of the Tomb (2014),3.5,6
3865,Paradox (2010),3.5,1
3866,The Punisher: Dirty Laundry (2012),2.5,1
3867,Seventh Son (2014),2.25,2
3868,Corner Gas: The Movie (2014),3.5,1
3869,A Merry Friggin' Christmas (2014),2.0,1
3870,Into the Forest of Fireflies' Light (2011),5.0,1
3871,PK (2014),5.0,1
3872,Chappie (2015),3.25,10
3873,The Salt of the Earth (2014),4.33,3
3874,The Fool (2014),4.5,1
3875,Taken 3 (2015),2.7,5
3876,Blackhat (2015),2.5,2
3877,Son of a Gun (2014),2.5,1
3878,Terminator Genisys (2015),2.5,9
3879,John Mulaney: New In Town (2012),4.0,1
3880,Patton Oswalt: My Weakness Is Strong (2009),4.5,1
3881,Man on High Heels (2014),3.0,1
3882,Space Buddies (2009),4.0,1
3883,Houdini (2014),2.0,1
3884,101 Dalmatians II: Patch's London Adventure (2003),2.5,1
3885,The Hungover Games (2014),2.5,1
3886,The Duke of Burgundy (2014),3.5,1
3887,Red Army (2014),4.0,1
3888,It Follows (2014),4.12,4
3889,The Town that Dreaded Sundown (2014),3.0,1
3890,Bill Burr: Let It Go (2010),4.5,1
3891,Bill Burr: Why Do I Do This? (2008),4.5,1
3892,Killer Movie (2008),4.5,1
3893,Sebastian Maniscalco: What's Wrong with People? (2012),3.5,1
3894,Stuart Little 3: Call of the Wild (2005),5.0,1
3895,Guy X (2005),5.0,1
3896,Tooth Fairy 2 (2012),0.5,1
3897,The Diary of Anne Frank (2009),2.5,1
3898,Wicked Blood (2014),1.5,1
3899,Mad Max: Fury Road (2015),3.82,47
3900,Insidious: Chapter 3 (2015),2.5,2
3901,Star Wars: Episode VII - The Force Awakens (2015),3.85,41
3902,Ben-hur (2016),0.5,1
3903,Warcraft (2016),3.42,6
3904,Avengers: Age of Ultron (2015),3.52,27
3905,Pirates of the Caribbean: Dead Men Tell No Tales (2017),3.79,7
3906,Justice League (2017),2.5,6
3907,Ant-Man (2015),3.72,27
3908,Fantastic Four (2015),2.1,5
3909,Deadpool (2016),3.83,54
3910,Black Panther (2017),3.73,11
3911,Avengers: Infinity War - Part I (2018),4.0,13
3912,Thor: Ragnarok (2017),4.03,20
3913,Guardians of the Galaxy 2 (2017),3.93,27
3914,Captain America: Civil War (2016),3.61,22
3915,Doctor Strange (2016),3.7,22
3916,X-Men: Apocalypse (2016),3.07,14
3917,Untitled Spider-Man Reboot (2017),4.16,16
3918,Elsa & Fred (2014),2.0,1
3919,Jim Jefferies: I Swear to God (2009),4.5,1
3920,In the Name of the King III (2014),1.0,1
3921,Cake (2014),2.75,2
3922,Kevin Smith: Too Fat For 40 (2010),4.5,1
3923,"Snowflake, the White Gorilla (2011)",5.0,1
3924,Delirium (2014),5.0,1
3925,The Gambler (2014),2.0,1
3926,Mortdecai (2015),3.0,1
3927,Fifty Shades of Grey (2015),1.0,3
3928,Halloweentown High (2004),3.75,2
3929,American Heist (2015),1.5,1
3930,The Pacific (2010),4.75,2
3931,Strange Magic (2015),3.0,1
3932,The DUFF (2015),3.25,6
3933,"Daddy, I'm A Zombie (2012)",4.0,1
3934,The Fox and the Hound 2 (2006),5.0,1
3935,Project Almanac (2015),3.75,4
3936,Louis C.K.: Live at The Comedy Store (2015),4.38,4
3937,Brooklyn (2015),3.88,4
3938,The End of the Tour (2015),4.0,1
3939,Experimenter (2015),4.5,1
3940,Mistress America (2015),4.0,1
3941,Zipper (2015),2.0,1
3942,A Walk in the Woods (2015),3.5,1
3943,True Story (2015),3.25,2
3944,Kurt Cobain: Montage of Heck (2015),3.0,1
3945,Going Clear: Scientology and the Prison of Belief (2015),4.25,2
3946,"What Happened, Miss Simone? (2015)",3.5,1
3947,A Story of Children and Film (2013),3.5,1
3948,"Story of Film: An Odyssey, The (2011)",4.0,1
3949,Eden (2014),4.0,1
3950,The D Train (2015),2.0,1
3951,Dope (2015),3.58,6
3952,Me and Earl and the Dying Girl (2015),3.75,6
3953,The Overnight (2015),3.75,2
3954,The Stanford Prison Experiment (2015),4.5,1
3955,A Pigeon Sat on a Branch Reflecting on Existence (2014),4.0,2
3956,The Loft (2014),1.5,1
3957,Vice (2015),1.0,1
3958,Family Guy Presents: Blue Harvest (2007),4.0,1
3959,Kevin Hart: I'm a Grown Little Man (2009),4.5,1
3960,Jim Norton: American Degenerate (2013),4.0,1
3961,Jim Jefferies: BARE (2014),4.5,1
3962,The Hateful Eight (2015),3.75,18
3963,Patton Oswalt: Tragedy Plus Comedy Equals Time (2014),4.0,1
3964,Wild Card (2015),3.0,1
3965,Paper Towns (2015),2.0,2
3966,The Wedding Ringer (2015),3.8,5
3967,Wyrmwood (2015),3.5,1
3968,The Boy Next Door (2015),1.0,1
3969,Boy Meets Girl (2015),4.0,1
3970,Victoria (2015),3.9,5
3971,The Dark Valley (2014),2.5,1
3972,I'm Here (2010),3.5,1
3973,The Last Five Years (2014),3.5,1
3974,Crimson Peak (2015),3.5,1
3975,Dragonheart 3: The Sorcerer's Curse (2015),4.0,1
3976,The Forgotten Space (2010),4.0,1
3977,Cloudburst (2011),4.0,1
3978,Tom Segura: Completely Normal (2014),5.0,1
3979,Stitch! The Movie (2003),4.0,2
3980,Hot Tub Time Machine 2 (2015),2.88,4
3981,Johnny Express (2014),4.5,1
3982,Northmen - A Viking Saga (2014),2.0,1
3983,Superfast! (2015),0.5,1
3984,Reality (2014),4.0,1
3985,Julia (2014),1.5,1
3986,Focus (2015),3.25,10
3987,Marvel One-Shot: Item 47 (2012),2.75,2
3988,The Second Best Exotic Marigold Hotel (2015),3.0,2
3989,George Carlin: It's Bad for Ya! (2008),5.0,1
3990,Tracers (2015),1.0,1
3991,"McFarland, USA (2015)",3.5,1
3992,Unfinished Business (2015),2.25,2
3993,Ghost in the Shell Arise - Border 1: Ghost Pain (2013),2.5,1
3994,Run All Night (2015),2.17,3
3995,Digging Up the Marrow (2014),3.0,1
3996,Clown (2014),3.5,1
3997,Cinderella (2015),4.0,1
3998,Kidnapping Mr. Heineken (2015),2.0,1
3999,The Cobbler (2015),3.75,2
4000,Ruby Red (2013),4.0,1
4001,Pan (2015),2.5,3
4002,While We're Young (2014),4.0,1
4003,Insurgent (2015),2.83,6
4004,The Amazing Screw-On Head (2006),4.0,3
4005,Home (2015),3.25,8
4006,Midnight Special (2015),2.38,4
4007,"Gunman, The (2015)",4.0,1
4008,Furious 7 (2015),2.75,6
4009,The Final Girls (2015),3.0,1
4010,Spring (2015),4.5,1
4011,Power/Rangers (2015),4.0,1
4012,George Carlin: Life Is Worth Losing (2005),5.0,1
4013,Legend No. 17 (2013),4.5,1
4014,Get Hard (2015),3.12,8
4015,That Sugar Film (2014),4.5,1
4016,Saving Santa (2013),5.0,1
4017,Tom and Jerry: A Nutcracker Tale (2007),5.0,1
4018,What Men Talk About (2010),5.0,1
4019,Kill Me Three Times (2014),3.0,1
4020,Poker Night (2014),2.0,1
4021,Shaun the Sheep Movie (2015),3.0,2
4022,Last Knights (2015),3.0,3
4023,The Jinx: The Life and Deaths of Robert Durst (2015),5.0,1
4024,Batman vs. Robin (2015),3.0,1
4025,Libre et assoupi (2014),3.0,1
4026,Woman in Gold (2015),4.0,1
4027,Iliza Shlesinger: Freezing Hot (2015),3.75,2
4028,The Road Within (2014),4.5,1
4029,Tomorrowland (2015),2.5,7
4030,Buzzard (2015),5.0,1
4031,Paul Blart: Mall Cop 2 (2015),2.75,4
4032,Seve (2014),5.0,1
4033,Breathe (2014),1.0,1
4034,Da Sweet Blood of Jesus (2014),3.25,2
4035,The Longest Ride (2015),1.75,2
4036,Girltrash: All Night Long (2014),3.5,1
4037,Sword of Vengeance (2014),1.0,1
4038,Lovesick (2014),2.0,1
4039,Danny Collins (2015),4.5,1
4040,The Even Stevens Movie (2003),3.5,1
4041,Kite (2014),1.5,1
4042,Man Up (2015),3.75,2
4043,San Andreas (2015),1.88,4
4044,Welcome to Me (2014),3.0,2
4045,Comedy Central Roast of James Franco (2013),3.0,1
4046,We Could Be King (2014),4.0,1
4047,Hitman: Agent 47 (2015),1.5,1
4048,B/W (2015),3.5,1
4049,Ricki and the Flash (2015),2.0,1
4050,Partisan (2015),2.0,1
4051,Infini (2015),1.5,1
4052,Pitch Perfect 2 (2015),3.44,9
4053,Just Before I Go (2014),1.0,1
4054,Carol (2015),4.0,1
4055,The Lobster (2015),4.0,7
4056,Güeros (2014),3.0,1
4057,Maggie (2015),2.0,1
4058,Hot Pursuit (2015),1.5,1
4059,Slow West (2015),4.25,2
4060,The Green Inferno (2014),3.5,1
4061,Barely Lethal (2015),4.5,1
4062,What Love Is (2007),5.0,1
4063,5 to 7 (2014),2.5,1
4064,My Love (2006),5.0,1
4065,Radio Day (2008),5.0,1
4066,The Martian (2015),4.0,48
4067,Return to Sender (2015),1.5,1
4068,Kung Fury (2015),3.71,7
4069,Elections Day (2007),4.5,1
4070,Youth (2015),3.5,4
4071,Survivor (2015),0.5,1
4072,Hot Girls Wanted (2015),3.0,1
4073,Phir Hera Pheri (2006),4.5,1
4074,Spy (2015),3.69,16
4075,Trainwreck (2015),3.2,10
4076,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles (2014),3.0,1
4077,Aloha (2015),0.5,1
4078,Dragon Blade (2015),2.0,1
4079,Entourage (2015),2.0,1
4080,Bitter Lake (2015),5.0,1
4081,No Way Jose (2015),2.0,1
4082,Ghost Graduation (2012),5.0,1
4083,Inside Out (2015),3.81,43
4084,The Wolfpack (2015),3.5,1
4085,Trevor Noah: African American (2013),2.5,1
4086,Love & Mercy (2014),4.33,3
4087,The Hunger Games: Mockingjay - Part 2 (2015),3.7,10
4088,Pixels (2015),2.58,6
4089,Fantastic Beasts and Where to Find Them (2016),3.68,14
4090,The Hairdresser (2010),4.0,1
4091,Mr. Holmes (2015),3.0,1
4092,The Secret Life of Pets (2016),3.07,7
4093,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),3.25,2
4094,Self/less (2015),2.75,2
4095,The Last Witch Hunter (2015),3.33,3
4096,Krampus (2015),3.5,1
4097,Suicide Squad (2016),2.92,12
4098,Independence Day: Resurgence (2016),2.38,4
4099,Star Trek Beyond (2016),3.47,15
4100,Golmaal (2006),4.5,1
4101,Bruce Lee: A Warrior's Journey (2000),3.5,1
4102,Ted 2 (2015),2.78,9
4103,Absolutely Anything (2015),3.0,1
4104,Minions (2015),3.17,15
4105,The Good Dinosaur (2015),3.0,4
4106,Black Mass (2015),2.5,3
4107,Spectre (2015),3.06,17
4108,Sharknado 3: Oh Hell No! (2015),1.0,2
4109,Scooby-Doo! and the Samurai Sword (2009),5.0,1
4110,Scooby-Doo! and the Loch Ness Monster (2004),5.0,1
4111,Big Top Scooby-Doo! (2012),5.0,1
4112,Gabriel Iglesias: Hot and Fluffy (2007),1.5,1
4113,Ghost in the Shell 2.0 (2008),3.75,2
4114,Kevin Hart: Laugh at My Pain (2011),3.5,1
4115,Tom and Jerry: Shiver Me Whiskers (2006),5.0,1
4116,Jeff Dunham: All Over the Map (2014),2.0,1
4117,The FP (2012),4.5,1
4118,Kung Fu Panda: Secrets of the Masters (2011),5.0,1
4119,Steve Jobs (2015),3.75,6
4120,Macbeth (2015),2.5,1
4121,Vacation (2015),3.42,6
4122,Creep (2014),3.0,2
4123,The Face of an Angel (2015),1.5,1
4124,Wild Horses (2015),1.0,1
4125,Search Party (2014),2.25,2
4126,The Squeeze (2015),2.0,1
4127,Careful What You Wish For (2015),1.5,1
4128,Robot Overlords (2014),1.5,1
4129,Bad Asses on the Bayou (2015),2.5,1
4130,The Eye: Infinity (2005),5.0,1
4131,Kiss me Kismet (2006),2.5,1
4132,Da geht noch was! (2013),3.5,1
4133,The Lovers (2015),1.5,1
4134,Batman v Superman: Dawn of Justice (2016),2.34,16
4135,God Loves Caviar (2012),2.0,1
4136,Amy (2015),3.5,4
4137,That Demon Within (2014),2.0,1
4138,Magic Mike XXL (2015),4.0,1
4139,The Jungle Book (2016),3.64,11
4140,Dragon Ball Z: Resurrection of F (2015),4.0,1
4141,The Man from U.N.C.L.E. (2015),3.47,18
4142,Sorrow (2015),0.5,1
4143,7 Days in Hell (2015),4.0,2
4144,The Walk (2015),3.0,2
4145,13 Hours (2016),3.3,5
4146,There Will Come a Day (2013),3.5,1
4147,The Opposite Sex (2014),1.5,1
4148,The Gallows (2015),1.5,1
4149,Tokyo Tribe (2014),5.0,1
4150,Feast (2014),3.0,1
4151,Joe Dirt 2: Beautiful Loser (2015),0.5,1
4152,Nasu: Summer in Andalusia (2003),5.0,1
4153,Dark Places (2015),2.0,1
4154,Afro Samurai (2007),2.5,1
4155,Massu Engira Maasilamani (2015),4.5,1
4156,The Revenant (2015),3.9,31
4157,Irrational Man (2015),3.0,1
4158,Exte: Hair Extensions (2007),3.0,1
4159,Ooops! Noah is Gone... (2015),5.0,1
4160,Southpaw (2015),2.83,6
4161,Sicario (2015),3.55,11
4162,Goodnight Mommy (Ich seh ich seh) (2014),3.0,1
4163,10 Cent Pistol (2015),1.25,2
4164,Before We Go (2014),3.5,1
4165,Anomalisa (2015),3.25,2
4166,Colonia (2016),1.5,1
4167,Ghost in the Shell Arise - Border 2: Ghost Whispers (2013),2.5,1
4168,How to Make Love Like an Englishman (2014),2.25,2
4169,Always Watching: A Marble Hornets Story (2015),2.0,1
4170,The Intern (2015),3.65,13
4171,Love (2015),4.5,1
4172,Room (2015),3.56,8
4173,The Runner (2015),2.0,1
4174,The Gift (2015),3.25,4
4175,The Witch (2015),4.0,1
4176,Men & Chicken (2015),4.0,1
4177,The Escort (2015),3.0,1
4178,Doctor Who: The Waters of Mars (2009),4.0,4
4179,"Family Guy Presents: Something, Something, Something, Dark Side (2009)",4.5,1
